,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0,0.2176560128699107,0.4388096126366773,0.45537809165623416,0.4388096126366773,0.44535763760929,0.420475243375842,0.03924352155689387,0.4388096126366773,0.24758397710711372,0.24320964404311396,0.06217045750574872,0.4344352795726775,0.3675271230430829,0.15464686797150823,0.4388096126366773,0.30830147501223815,0.429439461795972,0.41045478932889784,0.42803983056040107,0.429439461795972,0.22855616370884288,0.37844948107969534,0.2609885314333309,0.36456168567972164,0.27488246256510573,0.15990292094285058,0.42006395000169716,0.2639601045284933,0.203768217469937,0.009011058102167251,0.5936458917083336,0.44535763760929,0.44535763760929,0.020507749326909512,0.429439461795972,0.1907339793698923,0.4676774816474142,0.4314698422093163
Periodontal,0.2176560128699107,1.0,0.2794633799677955,0.43830286310983957,0.2794633799677955,0.5124233851276616,0.4223031876464336,0.2000456911327415,0.352351080408972,0.14078300881655875,0.26203690732722523,0.10074549157795969,0.32981045330122954,0.29913935214271253,0.22208917006546722,0.2794633799677955,0.20247042074824176,0.25326886490864603,0.22001824285815397,0.24936960401594155,0.25326886490864603,0.22300226004200574,0.3555397420485501,0.16989839136682044,0.25893154067403157,0.24140094393686126,0.30285526866338736,0.1869849117113937,0.23654417549502604,0.11560790932645419,0.024929255416045577,0.1869849117113937,0.297862063862651,0.3862108432070671,0.16194338564959038,0.25326886490864603,0.21809631232537385,0.21244231419556647,0.25893154067403157
Gastric and duodenal ulcer,0.4388096126366773,0.2794633799677955,1.0,0.6133660445327785,0.6314280053807764,0.5071650047071748,0.49889183743456167,0.09877283622396185,0.4898176938380913,0.25777496851093007,0.2870271949969588,0.10598800845959352,0.47825283052652234,0.4113446739969277,0.20565494917292226,0.6314280053807764,0.44928583459427873,0.5561691679875789,0.4212407661179595,0.46137875187969446,0.5446395021037904,0.31934251879390707,0.44025684817758015,0.2742999435293914,0.40351546767170754,0.5137028164487045,0.23831951500157023,0.37190145610708264,0.3077776554823381,0.21331318592126006,0.01838120894287255,0.26833443759249304,0.5071650047071748,0.5071650047071748,0.07151583052832355,0.5446395021037904,0.2345515303237371,0.4140977557601015,0.4704236242013022
Gastro-oesophageal reflux,0.45537809165623416,0.43830286310983957,0.6133660445327785,1.0,0.5337946857149538,0.6660044878492188,0.6881313989025726,0.25761231936600587,0.6290602693559443,0.275883141636697,0.41329506943364624,0.14819557979991804,0.6045207049632098,0.5376125484336152,0.3448975246907752,0.5337946857149538,0.38828704082706167,0.5053058780477468,0.4404719869049117,0.5010742929847608,0.5848772368655715,0.36331951067076956,0.5990963313196243,0.29836066758781543,0.44454725149454516,0.3833942230027316,0.4275590764695812,0.3884699351266395,0.3499852268226626,0.23020862631889905,0.03494968796242945,0.2849029166120499,0.5538693980469158,0.6660044878492188,0.21075840604617652,0.5848772368655715,0.3608194047604246,0.43220592888586845,0.5114554080241398
Guttate psoriasis,0.4388096126366773,0.2794633799677955,0.6314280053807764,0.5337946857149538,1.0,0.5071650047071748,0.49889183743456167,0.09877283622396185,0.4898176938380913,0.30115449316373594,0.2870271949969588,0.10598800845959352,0.47825283052652234,0.4113446739969277,0.20565494917292226,0.6314280053807764,0.5055460452617622,0.5561691679875789,0.4212407661179595,0.46137875187969446,0.4650681432859658,0.2795642449102569,0.44025684817758015,0.3140782174130416,0.40351546767170754,0.662453225512329,0.23831951500157023,0.37190145610708264,0.3077776554823381,0.21331318592126006,0.01838120894287255,0.26833443759249304,0.5071650047071748,0.5071650047071748,0.07151583052832355,0.4650681432859658,0.2345515303237371,0.4140977557601015,0.4704236242013022
Atopy,0.44535763760929,0.5124233851276616,0.5071650047071748,0.6660044878492188,0.5071650047071748,1.0,0.6311016395688267,0.2055202994632334,0.5800527051483513,0.2649179788687881,0.36628644251104525,0.12265207932599353,0.5575120780406089,0.4906039215110142,0.2958899604831823,0.5071650047071748,0.3634647982163327,0.4809704896480253,0.428816694780547,0.4770712287553208,0.4809704896480253,0.2969115557793404,0.5470043114168517,0.28372801206454046,0.41972500888381614,0.3550885135578461,0.37052931713583526,0.37844948107969534,0.3244417263487381,0.2564636921007676,0.024929278863118454,0.32218927041221185,0.5255636886020303,0.6139124679464464,0.16175084183858354,0.4809704896480253,0.31381077783782363,0.4212407661179595,0.48663316541341084
Diarrhea Irritable bowel syndrome(IBS),0.420475243375842,0.4223031876464336,0.49889183743456167,0.6881313989025726,0.49889183743456167,0.6311016395688267,1.0,0.2566130839683848,0.5941574210755521,0.25685532823842616,0.3942672560353754,0.14419714984886411,0.5696178566828176,0.5082642342817894,0.3335850986425607,0.49889183743456167,0.3636092971473821,0.4704030297673547,0.4084666786557092,0.46617144470436866,0.4704030297673547,0.30609306097557454,0.5697480171677984,0.28091249177627053,0.47655255974374766,0.3626437625173523,0.4171857774250212,0.3591216209748137,0.32923476633728327,0.2142089508554931,0.034949709462989774,0.2641524561266706,0.5189665497665237,0.6311016395688267,0.2105818467014135,0.4704030297673547,0.3461479790653135,0.40020062063666595,0.47655255974374766
Irritable bowel syndrome(IBS),0.03924352155689387,0.2000456911327415,0.09877283622396185,0.25761231936600587,0.09877283622396185,0.2055202994632334,0.2566130839683848,1.0,0.2780638754404927,0.04499571457819261,0.23754235508504176,0.07586714460888969,0.2408196429134797,0.2408196429134797,0.26926694175082905,0.09877283622396185,0.07471480355532495,0.07257832116481237,0.05432813918010512,0.06867906027210786,0.07257832116481237,0.09685731924790167,0.3340108938146447,0.08070875015481489,0.07824099693019786,0.11364532674394445,0.254086125991133,0.036965469126077025,0.08652473290970938,0.03654142781017211,0.02492904218902026,0.03504995215001684,0.11717152011881736,0.33173284138382786,0.1604438390741473,0.07257832116481237,0.23854159048266288,0.04675221051751762,0.07824099693019786
Constipation Irritable bowel syndrome(IBS),0.4388096126366773,0.352351080408972,0.4898176938380913,0.6290602693559443,0.4898176938380913,0.5800527051483513,0.5941574210755521,0.2780638754404927,1.0,0.25777496851093007,0.40503574467929976,0.10598800845959352,0.5962613802088633,0.5293532236792686,0.34726526071560726,0.4898176938380913,0.34725525700422405,0.4650681432859658,0.4212407661179595,0.46137875187969446,0.4650681432859658,0.2795642449102569,0.6172698349632941,0.2742999435293914,0.40351546767170754,0.33668982966299055,0.35723409982917687,0.37190145610708264,0.3077776554823381,0.21331318592126006,0.018381253890505753,0.26833443759249304,0.5071650047071748,0.6841779914928888,0.13022847802227322,0.4650681432859658,0.3525600800060781,0.4140977557601015,0.4704236242013022
Obesity,0.24758397710711372,0.14078300881655875,0.25777496851093007,0.275883141636697,0.30115449316373594,0.2649179788687881,0.25685532823842616,0.04499571457819261,0.25777496851093007,1.0,0.14876343078705231,0.055036699882651,0.25301296597087236,0.21653697676105665,0.11691918573661664,0.25777496851093007,0.21331318592126006,0.24758397710711372,0.24589016547051729,0.24606481593982554,0.24758397710711372,0.16483785937532458,0.2284419896589724,0.2003906477920568,0.21331318592126006,0.19777088850045538,0.14302570754070618,0.211107987897298,0.18586587560253964,0.19859745467453474,0.04463968521957522,0.211107987897298,0.2649179788687881,0.2649179788687881,0.029950847256460977,0.24758397710711372,0.16007585683526687,0.23874715511265923,0.24978917513107576
Ileal Crohn's disease(CD),0.24320964404311396,0.26203690732722523,0.2870271949969588,0.41329506943364624,0.2870271949969588,0.36628644251104525,0.3942672560353754,0.23754235508504176,0.40503574467929976,0.14876343078705231,1.0,0.07793087603013091,0.4513179787843987,0.4513179787843987,0.5652689855440169,0.2870271949969588,0.20122711715819103,0.26321912745811704,0.24084682881170738,0.25966672331072455,0.26321912745811704,0.19409008586135326,0.5834533819009787,0.17246452598094275,0.3117537321793296,0.21075415672775327,0.25221233008268756,0.20673365483329825,0.20876005175001955,0.14108278888746137,0.014007004690253093,0.17606255367478124,0.30369126586335876,0.4557081234363123,0.10836616362354402,0.26321912745811704,0.33669514455601873,0.23398515257260152,0.26837420752652374
Bacterial Vaginosis,0.06217045750574872,0.10074549157795969,0.10598800845959352,0.14819557979991804,0.10598800845959352,0.12265207932599353,0.14419714984886411,0.07586714460888969,0.10598800845959352,0.055036699882651,0.07793087603013091,1.0,0.09486795558098701,0.09486795558098701,0.07990277355419342,0.10598800845959352,0.07322499522659437,0.08217994092075182,0.07483702572155904,0.07862753677335932,0.08217994092075182,0.08645856947708067,0.12265207932599353,0.08651873468944467,0.08733502098915852,0.11498715826028137,0.120277440569172,0.054505536440036556,0.08720303451527486,0.06029470758286224,0.014006715363292734,0.054505536440036556,0.12265207932599353,0.12265207932599353,0.05840380393129929,0.08217994092075182,0.0707815635263387,0.06797534948245319,0.08733502098915852
Infectious colitis,0.4344352795726775,0.32981045330122954,0.47825283052652234,0.6045207049632098,0.47825283052652234,0.5575120780406089,0.5696178566828176,0.2408196429134797,0.5962613802088633,0.25301296597087236,0.4513179787843987,0.09486795558098701,1.0,0.6900587041418671,0.4112654840162498,0.47825283052652234,0.3364314758590092,0.4544447629876806,0.4161974294591496,0.4508923588402881,0.4544447629876806,0.2679993815986879,0.7077708609009477,0.26805954681105193,0.39269168652649267,0.3244417263487381,0.3090455342498262,0.3675271230430829,0.2966576026037316,0.2088563348614657,0.014006920826506005,0.3112669123755994,0.4949169013929223,0.6469337589658758,0.10894524217997471,0.4544447629876806,0.5132655604686766,0.4093357532200438,0.4595998430560873
Ulcerative colitis,0.3675271230430829,0.29913935214271253,0.4113446739969277,0.5376125484336152,0.4113446739969277,0.4906039215110142,0.5082642342817894,0.2408196429134797,0.5293532236792686,0.21653697676105665,0.4513179787843987,0.09486795558098701,0.6900587041418671,1.0,0.3895797589234753,0.4113446739969277,0.28912466801190306,0.38753660645808596,0.3548438070581213,0.38398420231069347,0.38753660645808596,0.2679993815986879,0.7746790174305422,0.23461169553610112,0.39269168652649267,0.3717485341958442,0.33269453543644234,0.3112669123755994,0.2966576026037316,0.24533232407128142,0.014006920826506005,0.22418183064484312,0.4280087448633277,0.5800256024362812,0.10854272296830705,0.38753660645808596,0.5132655604686766,0.34798213081901547,0.39269168652649267
Crohn's disease(CD),0.15464686797150823,0.22208917006546722,0.20565494917292226,0.3448975246907752,0.20565494917292226,0.2958899604831823,0.3335850986425607,0.26926694175082905,0.34726526071560726,0.11691918573661664,0.5652689855440169,0.07990277355419342,0.4112654840162498,0.3895797589234753,1.0,0.20565494917292226,0.1463405545757478,0.18090539862079671,0.18431744487158425,0.1772160072145254,0.18090539862079671,0.13750931895756907,0.5270799307985696,0.1322450175767036,0.1645751544433586,0.1830819350816204,0.2659110501701128,0.15464686797150823,0.13883706481128738,0.10893339235676235,0.01838112542874308,0.11472654301112288,0.22300226004200574,0.4000152468277198,0.1293390363893698,0.18090539862079671,0.3431198538008966,0.15352543332711002,0.18626087953613313
Allergic sensitization,0.4388096126366773,0.2794633799677955,0.6314280053807764,0.5337946857149538,0.6314280053807764,0.5071650047071748,0.49889183743456167,0.09877283622396185,0.4898176938380913,0.25777496851093007,0.2870271949969588,0.10598800845959352,0.47825283052652234,0.4113446739969277,0.20565494917292226,1.0,0.5055460452617622,0.6357405268054035,0.4942063260147735,0.5409501106975192,0.4650681432859658,0.2795642449102569,0.44025684817758015,0.2742999435293914,0.40351546767170754,0.5137028164487045,0.23831951500157023,0.37190145610708264,0.3077776554823381,0.21331318592126006,0.01838120894287255,0.26833443759249304,0.5071650047071748,0.5071650047071748,0.07151583052832355,0.4650681432859658,0.2345515303237371,0.4140977557601015,0.4704236242013022
Atopic dermatitis,0.30830147501223815,0.20247042074824176,0.44928583459427873,0.38828704082706167,0.5055460452617622,0.3634647982163327,0.3636092971473821,0.07471480355532495,0.34725525700422405,0.21331318592126006,0.20122711715819103,0.07322499522659437,0.3364314758590092,0.28912466801190306,0.1463405545757478,0.5055460452617622,1.0,0.7746560642930811,0.3514328569489107,0.37687382735933034,0.3240746193367252,0.19859745467453474,0.31615799036922654,0.2638551485971594,0.2817892295452504,0.3780431391519231,0.17937398972026283,0.26099466716513203,0.21589854285330212,0.14937474027293657,0.011041368941148698,0.18776854200653106,0.3634647982163327,0.3634647982163327,0.051498702107530665,0.3240746193367252,0.16412467234270373,0.2931686997838816,0.3290960373923565
Atopic sensitisation,0.429439461795972,0.25326886490864603,0.5561691679875789,0.5053058780477468,0.5561691679875789,0.4809704896480253,0.4704030297673547,0.07257832116481237,0.4650681432859658,0.24758397710711372,0.26321912745811704,0.08217994092075182,0.4544447629876806,0.38753660645808596,0.18090539862079671,0.6357405268054035,0.7746560642930811,1.0,0.4834203492257118,0.5184843170614054,0.4423120626728243,0.25481469435813137,0.41406233311843066,0.2609885314333309,0.3803348300042087,0.4340501073912896,0.2098307073343632,0.36253130526637733,0.28396958794349636,0.203768217469937,0.009011058102167251,0.25896428675178773,0.4809704896480253,0.4809704896480253,0.04676627997619801,0.4423120626728243,0.21074346278489542,0.40390676435628514,0.44724298653380334
Eczema,0.41045478932889784,0.22001824285815397,0.4212407661179595,0.4404719869049117,0.4212407661179595,0.428816694780547,0.4084666786557092,0.05432813918010512,0.4212407661179595,0.24589016547051729,0.24084682881170738,0.07483702572155904,0.4161974294591496,0.3548438070581213,0.18431744487158425,0.4942063260147735,0.3514328569489107,0.4834203492257118,1.0,0.4818147712110689,0.41045478932889784,0.2284419896589724,0.3674630723795187,0.26627983625299556,0.3514328569489107,0.2724939075313756,0.16952636542736024,0.3491011669278695,0.2598746422099782,0.20398802742754596,0.024929214199843272,0.2541320020797264,0.428816694780547,0.428816694780547,0.03766519174382088,0.41045478932889784,0.1927275518416455,0.389235457868757,0.412786479349939
