,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Recurrent wheeze,0.42803983056040107,0.24936960401594155,0.46137875187969446,0.5010742929847608,0.46137875187969446,0.4770712287553208,0.46617144470436866,0.06867906027210786,0.46137875187969446,0.24606481593982554,0.25966672331072455,0.07862753677335932,0.4508923588402881,0.38398420231069347,0.1772160072145254,0.5409501106975192,0.37687382735933034,0.5184843170614054,0.4818147712110689,1.0,0.4389129582435808,0.5052513543442114,0.4101630722257262,0.2590181209781273,0.37687382735933034,0.3065960537111366,0.20559912227137722,0.3611316740308064,0.34258803615959954,0.2023430987338106,0.007611426866596351,0.2575646555162168,0.4770712287553208,0.4770712287553208,0.04307688856992671,0.6183160068437208,0.20719105863750292,0.40238760318899697,0.443781983888925
Allergy,0.429439461795972,0.25326886490864603,0.5446395021037904,0.5848772368655715,0.4650681432859658,0.4809704896480253,0.4704030297673547,0.07257832116481237,0.4650681432859658,0.24758397710711372,0.26321912745811704,0.08217994092075182,0.4544447629876806,0.38753660645808596,0.18090539862079671,0.4650681432859658,0.3240746193367252,0.4423120626728243,0.41045478932889784,0.4389129582435808,1.0,0.29459296824178155,0.41406233311843066,0.2609885314333309,0.3803348300042087,0.31049531460384105,0.2098307073343632,0.36253130526637733,0.28396958794349636,0.203768217469937,0.009011058102167251,0.25896428675178773,0.4809704896480253,0.4809704896480253,0.04676627997619801,0.521883421490649,0.21074346278489542,0.40390676435628514,0.44724298653380334
Asthma,0.22855616370884288,0.22300226004200574,0.31934251879390707,0.36331951067076956,0.2795642449102569,0.2969115557793404,0.30609306097557454,0.09685731924790167,0.2795642449102569,0.16483785937532458,0.19409008586135326,0.08645856947708067,0.2679993815986879,0.2679993815986879,0.13750931895756907,0.2795642449102569,0.19859745467453474,0.25481469435813137,0.2284419896589724,0.5052513543442114,0.29459296824178155,1.0,0.2969115557793404,0.16919278687543288,0.26017017527346775,0.2634637045043896,0.2184340801331609,0.19510831243389207,0.4257862051646791,0.15685206599547027,0.01838120894287255,0.19510831243389207,0.2969115557793404,0.2969115557793404,0.07151583052832355,0.571614451518115,0.18277765981313873,0.22129897930111436,0.26017017527346775
Inflammatory bowel disease(IBD),0.37844948107969534,0.3555397420485501,0.44025684817758015,0.5990963313196243,0.44025684817758015,0.5470043114168517,0.5697480171677984,0.3340108938146447,0.6172698349632941,0.2284419896589724,0.5834533819009787,0.12265207932599353,0.7077708609009477,0.7746790174305422,0.5270799307985696,0.44025684817758015,0.31615799036922654,0.41406233311843066,0.3674630723795187,0.4101630722257262,0.41406233311843066,0.2969115557793404,1.0,0.2502801607895896,0.3634647982163327,0.40239532140495216,0.3941783183224514,0.32218927041221185,0.3244417263487381,0.2199877028909519,0.024929332317651282,0.23510418868145558,0.4586555320724357,0.6732168533374462,0.1621533610502512,0.41406233311843066,0.5644255685027079,0.3598871437169312,0.41972500888381614
Cystic fibrosis,0.2609885314333309,0.16989839136682044,0.2742999435293914,0.29836066758781543,0.3140782174130416,0.28372801206454046,0.28091249177627053,0.08070875015481489,0.2742999435293914,0.2003906477920568,0.17246452598094275,0.08651873468944467,0.26805954681105193,0.23461169553610112,0.1322450175767036,0.2742999435293914,0.2638551485971594,0.2609885314333309,0.26627983625299556,0.2590181209781273,0.2609885314333309,0.16919278687543288,0.2502801607895896,1.0,0.2304072973222086,0.19850629027899125,0.15065058143276572,0.2275406801583801,0.23461169553610112,0.16826012776705024,0.050813480370706224,0.1757668096477817,0.28372801206454046,0.28372801206454046,0.06538916442116513,0.2609885314333309,0.14623157743500934,0.25685176771784657,0.2638551485971594
Rheumatoid arthrits,0.36456168567972164,0.25893154067403157,0.40351546767170754,0.44454725149454516,0.40351546767170754,0.41972500888381614,0.47655255974374766,0.07824099693019786,0.40351546767170754,0.21331318592126006,0.3117537321793296,0.08733502098915852,0.39269168652649267,0.39269168652649267,0.1645751544433586,0.40351546767170754,0.2817892295452504,0.3803348300042087,0.3514328569489107,0.37687382735933034,0.3803348300042087,0.26017017527346775,0.3634647982163327,0.2304072973222086,1.0,0.2763797164855764,0.1960948024423469,0.30830147501223815,0.28912466801190306,0.20583586019872635,0.011041483463144755,0.26099466716513203,0.41972500888381614,0.41972500888381614,0.05212176089153441,0.3803348300042087,0.1877736735293199,0.34475833997921884,0.8535204846525807
Psoriasis,0.27488246256510573,0.24140094393686126,0.5137028164487045,0.3833942230027316,0.662453225512329,0.3550885135578461,0.3626437625173523,0.11364532674394445,0.33668982966299055,0.19777088850045538,0.21075415672775327,0.11498715826028137,0.3244417263487381,0.3717485341958442,0.1830819350816204,0.5137028164487045,0.3780431391519231,0.4340501073912896,0.2724939075313756,0.3065960537111366,0.31049531460384105,0.2634637045043896,0.40239532140495216,0.19850629027899125,0.2763797164855764,1.0,0.2820432285201484,0.23510418868145558,0.25121560119013714,0.1893166017324349,0.024929278863118454,0.20165633740650477,0.3550885135578461,0.3550885135578461,0.08852468018698474,0.31049531460384105,0.2230907318661549,0.2649179788687881,0.31615799036922654
Necrotizing Enterocolitis,0.15990292094285058,0.30285526866338736,0.23831951500157023,0.4275590764695812,0.23831951500157023,0.37052931713583526,0.4171857774250212,0.254086125991133,0.35723409982917687,0.14302570754070618,0.25221233008268756,0.120277440569172,0.3090455342498262,0.33269453543644234,0.2659110501701128,0.23831951500157023,0.17937398972026283,0.2098307073343632,0.16952636542736024,0.20559912227137722,0.2098307073343632,0.2184340801331609,0.3941783183224514,0.15065058143276572,0.1960948024423469,0.2820432285201484,1.0,0.21167679145344895,0.2050997962850539,0.13382718143272393,0.03494968796242945,0.14001748607444123,0.25839422733353223,0.37052931713583526,0.2098960413198836,0.2098307073343632,0.2724392866593328,0.161260307408317,0.21598023731075622
Systemic inflammatory response syndrome,0.42006395000169716,0.1869849117113937,0.37190145610708264,0.3884699351266395,0.37190145610708264,0.37844948107969534,0.3591216209748137,0.036965469126077025,0.37190145610708264,0.211107987897298,0.20673365483329825,0.054505536440036556,0.3675271230430829,0.3112669123755994,0.15464686797150823,0.37190145610708264,0.26099466716513203,0.36253130526637733,0.3491011669278695,0.3611316740308064,0.36253130526637733,0.19510831243389207,0.32218927041221185,0.2275406801583801,0.30830147501223815,0.23510418868145558,0.21167679145344895,1.0,0.22418183064484312,0.17309711631142,0.009011058102167251,0.27671865760345743,0.37844948107969534,0.37844948107969534,0.020507749326909512,0.36253130526637733,0.16260911004591008,0.40632385924638587,0.36456168567972164
COPD,0.2639601045284933,0.23654417549502604,0.3077776554823381,0.3499852268226626,0.3077776554823381,0.3244417263487381,0.32923476633728327,0.08652473290970938,0.3077776554823381,0.18586587560253964,0.20876005175001955,0.08720303451527486,0.2966576026037316,0.2966576026037316,0.13883706481128738,0.3077776554823381,0.21589854285330212,0.28396958794349636,0.2598746422099782,0.34258803615959954,0.28396958794349636,0.4257862051646791,0.3244417263487381,0.23461169553610112,0.28912466801190306,0.25121560119013714,0.2050997962850539,0.22418183064484312,1.0,0.2088563348614657,0.014006974281038833,0.22418183064484312,0.3244417263487381,0.3244417263487381,0.06083218741622343,0.3533902446894256,0.1953066081211484,0.25301296597087236,0.28912466801190306
Type 2 diabetes,0.203768217469937,0.11560790932645419,0.21331318592126006,0.23020862631889905,0.21331318592126006,0.2564636921007676,0.2142089508554931,0.03654142781017211,0.21331318592126006,0.19859745467453474,0.14108278888746137,0.06029470758286224,0.2088563348614657,0.24533232407128142,0.10893339235676235,0.21331318592126006,0.14937474027293657,0.203768217469937,0.20398802742754596,0.2023430987338106,0.203768217469937,0.15685206599547027,0.2199877028909519,0.16826012776705024,0.20583586019872635,0.1893166017324349,0.13382718143272393,0.17309711631142,0.2088563348614657,1.0,0.28706632401828286,0.203768217469937,0.2199877028909519,0.2199877028909519,0.023344451688844386,0.203768217469937,0.15239521493567593,0.1973135104578541,0.20583586019872635
Type 1 diabetes,0.009011058102167251,0.024929255416045577,0.01838120894287255,0.03494968796242945,0.01838120894287255,0.024929278863118454,0.034949709462989774,0.02492904218902026,0.018381253890505753,0.04463968521957522,0.014007004690253093,0.014006715363292734,0.014006920826506005,0.014006920826506005,0.01838112542874308,0.01838120894287255,0.011041368941148698,0.009011058102167251,0.024929214199843272,0.007611426866596351,0.009011058102167251,0.01838120894287255,0.024929332317651282,0.050813480370706224,0.011041483463144755,0.024929278863118454,0.03494968796242945,0.009011058102167251,0.014006974281038833,0.28706632401828286,1.0,0.009011220075802483,0.024929233915485252,0.024929233915485252,0.018381036177633415,0.009011058102167251,0.014007203367672088,0.01838118922723057,0.01104143851551155
Colorectal carcinoma,0.5936458917083336,0.1869849117113937,0.26833443759249304,0.2849029166120499,0.26833443759249304,0.32218927041221185,0.2641524561266706,0.03504995215001684,0.26833443759249304,0.211107987897298,0.17606255367478124,0.054505536440036556,0.3112669123755994,0.22418183064484312,0.11472654301112288,0.26833443759249304,0.18776854200653106,0.25896428675178773,0.2541320020797264,0.2575646555162168,0.25896428675178773,0.19510831243389207,0.23510418868145558,0.1757668096477817,0.26099466716513203,0.20165633740650477,0.14001748607444123,0.27671865760345743,0.22418183064484312,0.203768217469937,0.009011220075802483,1.0,0.27488246256510573,0.27488246256510573,0.020910268538577165,0.25896428675178773,0.16260911004591008,0.31135469439824276,0.26099466716513203
Kidney stones,0.44535763760929,0.297862063862651,0.5071650047071748,0.5538693980469158,0.5071650047071748,0.5255636886020303,0.5189665497665237,0.11717152011881736,0.5071650047071748,0.2649179788687881,0.30369126586335876,0.12265207932599353,0.4949169013929223,0.4280087448633277,0.22300226004200574,0.5071650047071748,0.3634647982163327,0.4809704896480253,0.428816694780547,0.4770712287553208,0.4809704896480253,0.2969115557793404,0.4586555320724357,0.28372801206454046,0.41972500888381614,0.3550885135578461,0.25839422733353223,0.37844948107969534,0.3244417263487381,0.2199877028909519,0.024929233915485252,0.27488246256510573,1.0,0.5255636886020303,0.08886314139740704,0.4809704896480253,0.25121560119013714,0.4212407661179595,0.48663316541341084
Whipple's disease,0.44535763760929,0.3862108432070671,0.5071650047071748,0.6660044878492188,0.5071650047071748,0.6139124679464464,0.6311016395688267,0.33173284138382786,0.6841779914928888,0.2649179788687881,0.4557081234363123,0.12265207932599353,0.6469337589658758,0.5800256024362812,0.4000152468277198,0.5071650047071748,0.3634647982163327,0.4809704896480253,0.428816694780547,0.4770712287553208,0.4809704896480253,0.2969115557793404,0.6732168533374462,0.28372801206454046,0.41972500888381614,0.3550885135578461,0.37052931713583526,0.37844948107969534,0.3244417263487381,0.2199877028909519,0.024929233915485252,0.27488246256510573,0.5255636886020303,1.0,0.16175084183858354,0.4809704896480253,0.4032324587630906,0.4212407661179595,0.48663316541341084
Liver cirrhosis,0.020507749326909512,0.16194338564959038,0.07151583052832355,0.21075840604617652,0.07151583052832355,0.16175084183858354,0.2105818467014135,0.1604438390741473,0.13022847802227322,0.029950847256460977,0.10836616362354402,0.05840380393129929,0.10894524217997471,0.10854272296830705,0.1293390363893698,0.07151583052832355,0.051498702107530665,0.04676627997619801,0.03766519174382088,0.04307688856992671,0.04676627997619801,0.07151583052832355,0.1621533610502512,0.06538916442116513,0.05212176089153441,0.08852468018698474,0.2098960413198836,0.020507749326909512,0.06083218741622343,0.023344451688844386,0.018381036177633415,0.020910268538577165,0.08886314139740704,0.16175084183858354,1.0,0.04676627997619801,0.10894524217997471,0.030522181385962834,0.05212176089153441
Allergic asthma,0.429439461795972,0.25326886490864603,0.5446395021037904,0.5848772368655715,0.4650681432859658,0.4809704896480253,0.4704030297673547,0.07257832116481237,0.4650681432859658,0.24758397710711372,0.26321912745811704,0.08217994092075182,0.4544447629876806,0.38753660645808596,0.18090539862079671,0.4650681432859658,0.3240746193367252,0.4423120626728243,0.41045478932889784,0.6183160068437208,0.521883421490649,0.571614451518115,0.41406233311843066,0.2609885314333309,0.3803348300042087,0.31049531460384105,0.2098307073343632,0.36253130526637733,0.3533902446894256,0.203768217469937,0.009011058102167251,0.25896428675178773,0.4809704896480253,0.4809704896480253,0.04676627997619801,1.0,0.21074346278489542,0.40390676435628514,0.44724298653380334
Clostridium difficile infection(CDI),0.1907339793698923,0.21809631232537385,0.2345515303237371,0.3608194047604246,0.2345515303237371,0.31381077783782363,0.3461479790653135,0.23854159048266288,0.3525600800060781,0.16007585683526687,0.33669514455601873,0.0707815635263387,0.5132655604686766,0.5132655604686766,0.3431198538008966,0.2345515303237371,0.16412467234270373,0.21074346278489542,0.1927275518416455,0.20719105863750292,0.21074346278489542,0.18277765981313873,0.5644255685027079,0.14623157743500934,0.1877736735293199,0.2230907318661549,0.2724392866593328,0.16260911004591008,0.1953066081211484,0.15239521493567593,0.014007203367672088,0.16260911004591008,0.25121560119013714,0.4032324587630906,0.10894524217997471,0.21074346278489542,1.0,0.18586587560253964,0.21589854285330212
Skin and mucosal infections,0.4676774816474142,0.21244231419556647,0.4140977557601015,0.43220592888586845,0.4140977557601015,0.4212407661179595,0.40020062063666595,0.04675221051751762,0.4140977557601015,0.23874715511265923,0.23398515257260152,0.06797534948245319,0.4093357532200438,0.34798213081901547,0.15352543332711002,0.4140977557601015,0.2931686997838816,0.40390676435628514,0.389235457868757,0.40238760318899697,0.40390676435628514,0.22129897930111436,0.3598871437169312,0.25685176771784657,0.34475833997921884,0.2649179788687881,0.161260307408317,0.40632385924638587,0.25301296597087236,0.1973135104578541,0.01838118922723057,0.31135469439824276,0.4212407661179595,0.4212407661179595,0.030522181385962834,0.40390676435628514,0.18586587560253964,1.0,0.40611196238024716
New-onset untreated rheumatoid arthrits,0.4314698422093163,0.25893154067403157,0.4704236242013022,0.5114554080241398,0.4704236242013022,0.48663316541341084,0.47655255974374766,0.07824099693019786,0.4704236242013022,0.24978917513107576,0.26837420752652374,0.08733502098915852,0.4595998430560873,0.39269168652649267,0.18626087953613313,0.4704236242013022,0.3290960373923565,0.44724298653380334,0.412786479349939,0.443781983888925,0.44724298653380334,0.26017017527346775,0.41972500888381614,0.2638551485971594,0.8535204846525807,0.31615799036922654,0.21598023731075622,0.36456168567972164,0.28912466801190306,0.20583586019872635,0.01104143851551155,0.26099466716513203,0.48663316541341084,0.48663316541341084,0.05212176089153441,0.44724298653380334,0.21589854285330212,0.40611196238024716,1.0
