,Allergic asthma,Allergic sensitization,Allergy,Asthma,Atopic dermatitis,Atopic sensitisation,Atopy,Bacterial Vaginosis,COPD,Clostridium difficile infection(CDI),Colon cancer,Colorectal carcinoma,Constipation Irritable bowel syndrome(IBS),Crohn's disease(CD),Cystic fibrosis,Diarrhea Irritable bowel syndrome(IBS),Eczema,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Ileal Crohn's disease(CD),Infectious colitis,Inflammatory bowel disease(IBD),Irritable bowel syndrome(IBS),Kidney stones,Liver cirrhosis,Necrotizing Enterocolitis,New-onset untreated rheumatoid arthrits,Obesity,Periodontal,Psoriasis,Recurrent wheeze,Rheumatoid arthrits,Skin and mucosal infections,Systemic inflammatory response syndrome,Type 1 diabetes,Type 2 diabetes,Ulcerative colitis,Whipple's disease
Gastro-oesophageal reflux,0.5848772368655715,0.5337946857149538,0.5848772368655715,0.3633195106707695,0.3882870408270616,0.5053058780477468,0.6660044878492188,0.148195579799918,0.3499852268226626,0.3608194047604246,0.4553780916562341,0.2849029166120499,0.6290602693559443,0.3448975246907752,0.2983606675878154,0.6881313989025726,0.4404719869049117,0.6133660445327785,1,0.5337946857149538,0.4132950694336462,0.6045207049632098,0.5990963313196243,0.2576123193660058,0.5538693980469158,0.2107584060461765,0.4275590764695812,0.5114554080241398,0.275883141636697,0.4383028631098395,0.3833942230027316,0.5010742929847608,0.4445472514945451,0.4322059288858684,0.3884699351266395,0.0349496879624294,0.230208626318899,0.5376125484336152,0.6660044878492188
Guttate psoriasis,0.4650681432859658,0.6314280053807764,0.4650681432859658,0.2795642449102569,0.5055460452617622,0.5561691679875789,0.5071650047071748,0.1059880084595935,0.3077776554823381,0.2345515303237371,0.4388096126366773,0.268334437592493,0.4898176938380913,0.2056549491729222,0.3140782174130416,0.4988918374345616,0.4212407661179595,0.6314280053807764,0.5337946857149538,1,0.2870271949969588,0.4782528305265223,0.4402568481775801,0.0987728362239618,0.5071650047071748,0.0715158305283235,0.2383195150015702,0.4704236242013022,0.3011544931637359,0.2794633799677955,0.662453225512329,0.4613787518796944,0.4035154676717075,0.4140977557601015,0.3719014561070826,0.0183812089428725,0.21331318592126,0.4113446739969277,0.5071650047071748
Ileal Crohn's disease(CD),0.263219127458117,0.2870271949969588,0.263219127458117,0.1940900858613532,0.201227117158191,0.263219127458117,0.3662864425110452,0.0779308760301309,0.2087600517500195,0.3366951445560187,0.2432096440431139,0.1760625536747812,0.4050357446792997,0.5652689855440169,0.1724645259809427,0.3942672560353754,0.2408468288117073,0.2870271949969588,0.4132950694336462,0.2870271949969588,1,0.4513179787843987,0.5834533819009787,0.2375423550850417,0.3036912658633587,0.108366163623544,0.2522123300826875,0.2683742075265237,0.1487634307870523,0.2620369073272252,0.2107541567277532,0.2596667233107245,0.3117537321793296,0.2339851525726015,0.2067336548332982,0.014007004690253,0.1410827888874613,0.4513179787843987,0.4557081234363123
Infectious colitis,0.4544447629876806,0.4782528305265223,0.4544447629876806,0.2679993815986879,0.3364314758590092,0.4544447629876806,0.5575120780406089,0.094867955580987,0.2966576026037316,0.5132655604686766,0.4344352795726775,0.3112669123755994,0.5962613802088633,0.4112654840162498,0.2680595468110519,0.5696178566828176,0.4161974294591496,0.4782528305265223,0.6045207049632098,0.4782528305265223,0.4513179787843987,1,0.7077708609009477,0.2408196429134797,0.4949169013929223,0.1089452421799747,0.3090455342498262,0.4595998430560873,0.2530129659708723,0.3298104533012295,0.3244417263487381,0.4508923588402881,0.3926916865264926,0.4093357532200438,0.3675271230430829,0.014006920826506,0.2088563348614657,0.6900587041418671,0.6469337589658758
Inflammatory bowel disease(IBD),0.4140623331184306,0.4402568481775801,0.4140623331184306,0.2969115557793404,0.3161579903692265,0.4140623331184306,0.5470043114168517,0.1226520793259935,0.3244417263487381,0.5644255685027079,0.3784494810796953,0.2351041886814555,0.6172698349632941,0.5270799307985696,0.2502801607895896,0.5697480171677984,0.3674630723795187,0.4402568481775801,0.5990963313196243,0.4402568481775801,0.5834533819009787,0.7077708609009477,1,0.3340108938146447,0.4586555320724357,0.1621533610502512,0.3941783183224514,0.4197250088838161,0.2284419896589724,0.3555397420485501,0.4023953214049521,0.4101630722257262,0.3634647982163327,0.3598871437169312,0.3221892704122118,0.0249293323176512,0.2199877028909519,0.7746790174305422,0.6732168533374462
Irritable bowel syndrome(IBS),0.0725783211648123,0.0987728362239618,0.0725783211648123,0.0968573192479016,0.0747148035553249,0.0725783211648123,0.2055202994632334,0.0758671446088896,0.0865247329097093,0.2385415904826628,0.0392435215568938,0.0350499521500168,0.2780638754404927,0.269266941750829,0.0807087501548148,0.2566130839683848,0.0543281391801051,0.0987728362239618,0.2576123193660058,0.0987728362239618,0.2375423550850417,0.2408196429134797,0.3340108938146447,1,0.1171715201188173,0.1604438390741473,0.254086125991133,0.0782409969301978,0.0449957145781926,0.2000456911327415,0.1136453267439444,0.0686790602721078,0.0782409969301978,0.0467522105175176,0.036965469126077,0.0249290421890202,0.0365414278101721,0.2408196429134797,0.3317328413838278
Kidney stones,0.4809704896480253,0.5071650047071748,0.4809704896480253,0.2969115557793404,0.3634647982163327,0.4809704896480253,0.5255636886020303,0.1226520793259935,0.3244417263487381,0.2512156011901371,0.44535763760929,0.2748824625651057,0.5071650047071748,0.2230022600420057,0.2837280120645404,0.5189665497665237,0.428816694780547,0.5071650047071748,0.5538693980469158,0.5071650047071748,0.3036912658633587,0.4949169013929223,0.4586555320724357,0.1171715201188173,1,0.088863141397407,0.2583942273335322,0.4866331654134108,0.2649179788687881,0.297862063862651,0.3550885135578461,0.4770712287553208,0.4197250088838161,0.4212407661179595,0.3784494810796953,0.0249292339154852,0.2199877028909519,0.4280087448633277,0.5255636886020303
Liver cirrhosis,0.046766279976198,0.0715158305283235,0.046766279976198,0.0715158305283235,0.0514987021075306,0.046766279976198,0.1617508418385835,0.0584038039312992,0.0608321874162234,0.1089452421799747,0.0205077493269095,0.0209102685385771,0.1302284780222732,0.1293390363893698,0.0653891644211651,0.2105818467014135,0.0376651917438208,0.0715158305283235,0.2107584060461765,0.0715158305283235,0.108366163623544,0.1089452421799747,0.1621533610502512,0.1604438390741473,0.088863141397407,1,0.2098960413198836,0.0521217608915344,0.0299508472564609,0.1619433856495903,0.0885246801869847,0.0430768885699267,0.0521217608915344,0.0305221813859628,0.0205077493269095,0.0183810361776334,0.0233444516888443,0.108542722968307,0.1617508418385835
Necrotizing Enterocolitis,0.2098307073343632,0.2383195150015702,0.2098307073343632,0.2184340801331609,0.1793739897202628,0.2098307073343632,0.3705293171358352,0.120277440569172,0.2050997962850539,0.2724392866593328,0.1599029209428505,0.1400174860744412,0.3572340998291768,0.2659110501701128,0.1506505814327657,0.4171857774250212,0.1695263654273602,0.2383195150015702,0.4275590764695812,0.2383195150015702,0.2522123300826875,0.3090455342498262,0.3941783183224514,0.254086125991133,0.2583942273335322,0.2098960413198836,1,0.2159802373107562,0.1430257075407061,0.3028552686633873,0.2820432285201484,0.2055991222713772,0.1960948024423469,0.161260307408317,0.2116767914534489,0.0349496879624294,0.1338271814327239,0.3326945354364423,0.3705293171358352
New-onset untreated rheumatoid arthrits,0.4472429865338033,0.4704236242013022,0.4472429865338033,0.2601701752734677,0.3290960373923565,0.4472429865338033,0.4866331654134108,0.0873350209891585,0.289124668011903,0.2158985428533021,0.4314698422093163,0.260994667165132,0.4704236242013022,0.1862608795361331,0.2638551485971594,0.4765525597437476,0.412786479349939,0.4704236242013022,0.5114554080241398,0.4704236242013022,0.2683742075265237,0.4595998430560873,0.4197250088838161,0.0782409969301978,0.4866331654134108,0.0521217608915344,0.2159802373107562,1,0.2497891751310757,0.2589315406740315,0.3161579903692265,0.443781983888925,0.8535204846525807,0.4061119623802471,0.3645616856797216,0.0110414385155115,0.2058358601987263,0.3926916865264926,0.4866331654134108
Obesity,0.2475839771071137,0.25777496851093,0.2475839771071137,0.1648378593753245,0.21331318592126,0.2475839771071137,0.2649179788687881,0.055036699882651,0.1858658756025396,0.1600758568352668,0.2475839771071137,0.211107987897298,0.25777496851093,0.1169191857366166,0.2003906477920568,0.2568553282384261,0.2458901654705172,0.25777496851093,0.275883141636697,0.3011544931637359,0.1487634307870523,0.2530129659708723,0.2284419896589724,0.0449957145781926,0.2649179788687881,0.0299508472564609,0.1430257075407061,0.2497891751310757,1,0.1407830088165587,0.1977708885004553,0.2460648159398255,0.21331318592126,0.2387471551126592,0.211107987897298,0.0446396852195752,0.1985974546745347,0.2165369767610566,0.2649179788687881
Periodontal,0.253268864908646,0.2794633799677955,0.253268864908646,0.2230022600420057,0.2024704207482417,0.253268864908646,0.5124233851276616,0.1007454915779596,0.236544175495026,0.2180963123253738,0.2176560128699107,0.1869849117113937,0.352351080408972,0.2220891700654672,0.1698983913668204,0.4223031876464336,0.2200182428581539,0.2794633799677955,0.4383028631098395,0.2794633799677955,0.2620369073272252,0.3298104533012295,0.3555397420485501,0.2000456911327415,0.297862063862651,0.1619433856495903,0.3028552686633873,0.2589315406740315,0.1407830088165587,1,0.2414009439368612,0.2493696040159415,0.2589315406740315,0.2124423141955664,0.1869849117113937,0.0249292554160455,0.1156079093264541,0.2991393521427125,0.3862108432070671
Psoriasis,0.310495314603841,0.5137028164487045,0.310495314603841,0.2634637045043896,0.3780431391519231,0.4340501073912896,0.3550885135578461,0.1149871582602813,0.2512156011901371,0.2230907318661549,0.2748824625651057,0.2016563374065047,0.3366898296629905,0.1830819350816204,0.1985062902789912,0.3626437625173523,0.2724939075313756,0.5137028164487045,0.3833942230027316,0.662453225512329,0.2107541567277532,0.3244417263487381,0.4023953214049521,0.1136453267439444,0.3550885135578461,0.0885246801869847,0.2820432285201484,0.3161579903692265,0.1977708885004553,0.2414009439368612,1,0.3065960537111366,0.2763797164855764,0.2649179788687881,0.2351041886814555,0.0249292788631184,0.1893166017324349,0.3717485341958442,0.3550885135578461
Recurrent wheeze,0.6183160068437208,0.5409501106975192,0.4389129582435808,0.5052513543442114,0.3768738273593303,0.5184843170614054,0.4770712287553208,0.0786275367733593,0.3425880361595995,0.2071910586375029,0.428039830560401,0.2575646555162168,0.4613787518796944,0.1772160072145254,0.2590181209781273,0.4661714447043686,0.4818147712110689,0.4613787518796944,0.5010742929847608,0.4613787518796944,0.2596667233107245,0.4508923588402881,0.4101630722257262,0.0686790602721078,0.4770712287553208,0.0430768885699267,0.2055991222713772,0.443781983888925,0.2460648159398255,0.2493696040159415,0.3065960537111366,1,0.3768738273593303,0.4023876031889969,0.3611316740308064,0.0076114268665963,0.2023430987338106,0.3839842023106934,0.4770712287553208
Rheumatoid arthrits,0.3803348300042087,0.4035154676717075,0.3803348300042087,0.2601701752734677,0.2817892295452504,0.3803348300042087,0.4197250088838161,0.0873350209891585,0.289124668011903,0.1877736735293199,0.3645616856797216,0.260994667165132,0.4035154676717075,0.1645751544433586,0.2304072973222086,0.4765525597437476,0.3514328569489107,0.4035154676717075,0.4445472514945451,0.4035154676717075,0.3117537321793296,0.3926916865264926,0.3634647982163327,0.0782409969301978,0.4197250088838161,0.0521217608915344,0.1960948024423469,0.8535204846525807,0.21331318592126,0.2589315406740315,0.2763797164855764,0.3768738273593303,1,0.3447583399792188,0.3083014750122381,0.0110414834631447,0.2058358601987263,0.3926916865264926,0.4197250088838161
Skin and mucosal infections,0.4039067643562851,0.4140977557601015,0.4039067643562851,0.2212989793011143,0.2931686997838816,0.4039067643562851,0.4212407661179595,0.0679753494824531,0.2530129659708723,0.1858658756025396,0.4676774816474142,0.3113546943982427,0.4140977557601015,0.15352543332711,0.2568517677178465,0.4002006206366659,0.389235457868757,0.4140977557601015,0.4322059288858684,0.4140977557601015,0.2339851525726015,0.4093357532200438,0.3598871437169312,0.0467522105175176,0.4212407661179595,0.0305221813859628,0.161260307408317,0.4061119623802471,0.2387471551126592,0.2124423141955664,0.2649179788687881,0.4023876031889969,0.3447583399792188,1,0.4063238592463858,0.0183811892272305,0.1973135104578541,0.3479821308190154,0.4212407661179595
Systemic inflammatory response syndrome,0.3625313052663773,0.3719014561070826,0.3625313052663773,0.195108312433892,0.260994667165132,0.3625313052663773,0.3784494810796953,0.0545055364400365,0.2241818306448431,0.16260911004591,0.4200639500016971,0.2767186576034574,0.3719014561070826,0.1546468679715082,0.2275406801583801,0.3591216209748137,0.3491011669278695,0.3719014561070826,0.3884699351266395,0.3719014561070826,0.2067336548332982,0.3675271230430829,0.3221892704122118,0.036965469126077,0.3784494810796953,0.0205077493269095,0.2116767914534489,0.3645616856797216,0.211107987897298,0.1869849117113937,0.2351041886814555,0.3611316740308064,0.3083014750122381,0.4063238592463858,1,0.0090110581021672,0.17309711631142,0.3112669123755994,0.3784494810796953
Type 1 diabetes,0.0090110581021672,0.0183812089428725,0.0090110581021672,0.0183812089428725,0.0110413689411486,0.0090110581021672,0.0249292788631184,0.0140067153632927,0.0140069742810388,0.014007203367672,0.0090110581021672,0.0090112200758024,0.0183812538905057,0.018381125428743,0.0508134803707062,0.0349497094629897,0.0249292141998432,0.0183812089428725,0.0349496879624294,0.0183812089428725,0.014007004690253,0.014006920826506,0.0249293323176512,0.0249290421890202,0.0249292339154852,0.0183810361776334,0.0349496879624294,0.0110414385155115,0.0446396852195752,0.0249292554160455,0.0249292788631184,0.0076114268665963,0.0110414834631447,0.0183811892272305,0.0090110581021672,1,0.2870663240182828,0.014006920826506,0.0249292339154852
Type 2 diabetes,0.203768217469937,0.21331318592126,0.203768217469937,0.1568520659954702,0.1493747402729365,0.203768217469937,0.2564636921007676,0.0602947075828622,0.2088563348614657,0.1523952149356759,0.203768217469937,0.203768217469937,0.21331318592126,0.1089333923567623,0.1682601277670502,0.2142089508554931,0.2039880274275459,0.21331318592126,0.230208626318899,0.21331318592126,0.1410827888874613,0.2088563348614657,0.2199877028909519,0.0365414278101721,0.2199877028909519,0.0233444516888443,0.1338271814327239,0.2058358601987263,0.1985974546745347,0.1156079093264541,0.1893166017324349,0.2023430987338106,0.2058358601987263,0.1973135104578541,0.17309711631142,0.2870663240182828,1,0.2453323240712814,0.2199877028909519
Ulcerative colitis,0.3875366064580859,0.4113446739969277,0.3875366064580859,0.2679993815986879,0.289124668011903,0.3875366064580859,0.4906039215110142,0.094867955580987,0.2966576026037316,0.5132655604686766,0.3675271230430829,0.2241818306448431,0.5293532236792686,0.3895797589234753,0.2346116955361011,0.5082642342817894,0.3548438070581213,0.4113446739969277,0.5376125484336152,0.4113446739969277,0.4513179787843987,0.6900587041418671,0.7746790174305422,0.2408196429134797,0.4280087448633277,0.108542722968307,0.3326945354364423,0.3926916865264926,0.2165369767610566,0.2991393521427125,0.3717485341958442,0.3839842023106934,0.3926916865264926,0.3479821308190154,0.3112669123755994,0.014006920826506,0.2453323240712814,1,0.5800256024362812
Whipple's disease,0.4809704896480253,0.5071650047071748,0.4809704896480253,0.2969115557793404,0.3634647982163327,0.4809704896480253,0.6139124679464464,0.1226520793259935,0.3244417263487381,0.4032324587630906,0.44535763760929,0.2748824625651057,0.6841779914928888,0.4000152468277198,0.2837280120645404,0.6311016395688267,0.428816694780547,0.5071650047071748,0.6660044878492188,0.5071650047071748,0.4557081234363123,0.6469337589658758,0.6732168533374462,0.3317328413838278,0.5255636886020303,0.1617508418385835,0.3705293171358352,0.4866331654134108,0.2649179788687881,0.3862108432070671,0.3550885135578461,0.4770712287553208,0.4197250088838161,0.4212407661179595,0.3784494810796953,0.0249292339154852,0.2199877028909519,0.5800256024362812,1
